cql://better_reads/book_by_id?start=-8017362888860786787&end=-7914173136657323495;1;2709;1:2709;
cql://better_reads/book_by_id?start=-8165606295817828271&end=-8017362888860786787;1;4103;1:4103;
cql://better_reads/book_by_id?start=-8313849702774869755&end=-8165606295817828271;1;4025;1:4025;
cql://better_reads/book_by_id?start=-8462093109731911239&end=-8313849702774869755;1;4022;1:4022;
cql://better_reads/book_by_id?start=-8610336516688952723&end=-8462093109731911239;1;4015;1:4015;
cql://better_reads/book_by_id?start=-8758579923645994207&end=-8610336516688952723;1;3992;1:3992;
cql://better_reads/book_by_id?start=-880194362132198675&end=-734575991763880547;1;4052;1:4052;
cql://better_reads/book_by_id?start=-8888701440295264286&end=-8758579923645994207;1;3541;1:3541;
cql://better_reads/book_by_id?start=-9018822956944534363&end=-8888701440295264286;1;3551;1:3551;
cql://better_reads/book_by_id?start=-9148944473593804440&end=-9018822956944534363;1;3475;1:3475;
cql://better_reads/book_by_id?start=-9223372036854775808&end=-9148944473593804440;1;1945;1:1945;
cql://better_reads/book_by_id?start=111541196064302668&end=259371180898344768;1;4054;1:4054;
cql://better_reads/book_by_id?start=1146351089902597370&end=1294181074736639471;1;4042;1:4042;
cql://better_reads/book_by_id?start=1294181074736639471&end=1442011059570681571;1;4051;1:4051;
cql://better_reads/book_by_id?start=1442011059570681571&end=1589841044404723671;1;4011;1:4011;
cql://better_reads/book_by_id?start=1589841044404723671&end=1737671029238765772;1;4111;1:4111;
cql://better_reads/book_by_id?start=1737671029238765772&end=1885501014072807872;1;4022;1:4022;
cql://better_reads/book_by_id?start=1885501014072807872&end=2033330998906849972;1;3903;1:3903;
cql://better_reads/book_by_id?start=2033330998906849972&end=2181160983740892073;1;3969;1:3969;
cql://better_reads/book_by_id?start=2181160983740892073&end=2338796270590787826;1;4277;1:4277;
cql://better_reads/book_by_id?start=2338796270590787826&end=2496431557440683580;1;4217;1:4217;
cql://better_reads/book_by_id?start=2496431557440683580&end=2654066844290579334;1;4281;1:4281;
cql://better_reads/book_by_id?start=259371180898344768&end=407201165732386869;1;3982;1:3982;
cql://better_reads/book_by_id?start=2654066844290579334&end=2803036724697877298;1;4177;1:4177;
cql://better_reads/book_by_id?start=2803036724697877298&end=2952006605105175262;1;4127;1:4127;
cql://better_reads/book_by_id?start=2952006605105175262&end=3100976485512473226;1;3995;1:3995;
cql://better_reads/book_by_id?start=3100976485512473226&end=3233915046197636176;1;3503;1:3503;
cql://better_reads/book_by_id?start=3233915046197636176&end=3366853606882799127;1;3569;1:3569;
cql://better_reads/book_by_id?start=3366853606882799127&end=3499792167567962078;1;3593;1:3593;
cql://better_reads/book_by_id?start=3499792167567962078&end=3632730728253125029;1;3632;1:3632;
cql://better_reads/book_by_id?start=3632730728253125029&end=3840906062222753220;1;5795;1:5795;
cql://better_reads/book_by_id?start=3840906062222753220&end=3975786563364905843;1;3642;1:3642;
cql://better_reads/book_by_id?start=3975786563364905843&end=4110667064507058466;1;3629;1:3629;
